slot_1based,source_end_time,assumed_interval_start,assumed_interval_end,q1_template_row,annual_template_column_1based,original_template_label,mapping_status
88,14:40,14:30,14:40,89,89,14:40-14:50,proposed_right_endpoint_assumption_not_official_correction
89,14:50,14:40,14:50,90,90,14:50-15:00,proposed_right_endpoint_assumption_not_official_correction
90,15:00,14:50,15:00,91,91,15:00-15:10,proposed_right_endpoint_assumption_not_official_correction
91,15:10,15:00,15:10,92,92,15:10-15:20,proposed_right_endpoint_assumption_not_official_correction
92,15:20,15:10,15:20,93,93,15:20-15:30,proposed_right_endpoint_assumption_not_official_correction
93,15:30,15:20,15:30,94,94,15:30-15:40,proposed_right_endpoint_assumption_not_official_correction
94,15:40,15:30,15:40,95,95,15:40-15:50,proposed_right_endpoint_assumption_not_official_correction
95,15:50,15:40,15:50,96,96,15:50-16:00,proposed_right_endpoint_assumption_not_official_correction
96,16:00,15:50,16:00,97,97,16:00-16:10,proposed_right_endpoint_assumption_not_official_correction
97,16:10,16:00,16:10,98,98,16:10-16:20,proposed_right_endpoint_assumption_not_official_correction
98,16:20,16:10,16:20,99,99,16:20-16:30,proposed_right_endpoint_assumption_not_official_correction
99,16:30,16:20,16:30,100,100,16:30-16:40,proposed_right_endpoint_assumption_not_official_correction
100,16:40,16:30,16:40,101,101,16:40-16:50,proposed_right_endpoint_assumption_not_official_correction
101,16:50,16:40,16:50,102,102,16:50-17:00,proposed_right_endpoint_assumption_not_official_correction
102,17:00,16:50,17:00,103,103,17:00-17:10,proposed_right_endpoint_assumption_not_official_correction
103,17:10,17:00,17:10,104,104,17:10-17:20,proposed_right_endpoint_assumption_not_official_correction
104,17:20,17:10,17:20,105,105,17:20-17:30,proposed_right_endpoint_assumption_not_official_correction
105,17:30,17:20,17:30,106,106,17:30-17:40,proposed_right_endpoint_assumption_not_official_correction
106,17:40,17:30,17:40,107,107,17:40-17:50,proposed_right_endpoint_assumption_not_official_correction
107,17:50,17:40,17:50,108,108,17:50-18:00,proposed_right_endpoint_assumption_not_official_correction
108,18:00,17:50,18:00,109,109,18:00-18:10,proposed_right_endpoint_assumption_not_official_correction
109,18:10,18:00,18:10,110,110,18:10-18:20,proposed_right_endpoint_assumption_not_official_correction
110,18:20,18:10,18:20,111,111,18:20-18:30,proposed_right_endpoint_assumption_not_official_correction
111,18:30,18:20,18:30,112,112,18:30-18:40,proposed_right_endpoint_assumption_not_official_correction
112,18:40,18:30,18:40,113,113,18:40-18:50,proposed_right_endpoint_assumption_not_official_correction
113,18:50,18:40,18:50,114,114,18:50-19:00,proposed_right_endpoint_assumption_not_official_correction
114,19:00,18:50,19:00,115,115,19:00-19:10,proposed_right_endpoint_assumption_not_official_correction
115,19:10,19:00,19:10,116,116,19:10-19:20,proposed_right_endpoint_assumption_not_official_correction
116,19:20,19:10,19:20,117,117,19:20-19:30,proposed_right_endpoint_assumption_not_official_correction
117,19:30,19:20,19:30,118,118,19:30-19:40,proposed_right_endpoint_assumption_not_official_correction
118,19:40,19:30,19:40,119,119,19:40-19:50,proposed_right_endpoint_assumption_not_official_correction
119,19:50,19:40,19:50,120,120,19:50-20:00,proposed_right_endpoint_assumption_not_official_correction
120,20:00,19:50,20:00,121,121,20:00-20:10,proposed_right_endpoint_assumption_not_official_correction
121,20:10,20:00,20:10,122,122,20:10-20:20,proposed_right_endpoint_assumption_not_official_correction
122,20:20,20:10,20:20,123,123,20:20-20:30,proposed_right_endpoint_assumption_not_official_correction
123,20:30,20:20,20:30,124,124,20:30-20:40,proposed_right_endpoint_assumption_not_official_correction
124,20:40,20:30,20:40,125,125,20:40-20:50,proposed_right_endpoint_assumption_not_official_correction
125,20:50,20:40,20:50,126,126,20:50-21:00,proposed_right_endpoint_assumption_not_official_correction
126,21:00,20:50,21:00,127,127,21:00-21:10,proposed_right_endpoint_assumption_not_official_correction
127,21:10,21:00,21:10,128,128,21:10-21:20,proposed_right_endpoint_assumption_not_official_correction
128,21:20,21:10,21:20,129,129,21:20-21:30,proposed_right_endpoint_assumption_not_official_correction
129,21:30,21:20,21:30,130,130,21:30-21:40,proposed_right_endpoint_assumption_not_official_correction
130,21:40,21:30,21:40,131,131,21:40-21:50,proposed_right_endpoint_assumption_not_official_correction
131,21:50,21:40,21:50,132,132,21:50-22:00,proposed_right_endpoint_assumption_not_official_correction
132,22:00,21:50,22:00,133,133,22:00-22:10,proposed_right_endpoint_assumption_not_official_correction
133,22:10,22:00,22:10,134,134,22:10-22:20,proposed_right_endpoint_assumption_not_official_correction
134,22:20,22:10,22:20,135,135,22:20-22:30,proposed_right_endpoint_assumption_not_official_correction
135,22:30,22:20,22:30,136,136,22:30-22:40,proposed_right_endpoint_assumption_not_official_correction
136,22:40,22:30,22:40,137,137,22:40-22:50,proposed_right_endpoint_assumption_not_official_correction
137,22:50,22:40,22:50,138,138,22:50-23:00,proposed_right_endpoint_assumption_not_official_correction
138,23:00,22:50,23:00,139,139,23:00-23:10,proposed_right_endpoint_assumption_not_official_correction
139,23:10,23:00,23:10,140,140,23:10-23:20,proposed_right_endpoint_assumption_not_official_correction
140,23:20,23:10,23:20,141,141,23:20-23:30,proposed_right_endpoint_assumption_not_official_correction
141,23:30,23:20,23:30,142,142,23:30-23:40,proposed_right_endpoint_assumption_not_official_correction
142,23:40,23:30,23:40,143,143,23:40-23:50,proposed_right_endpoint_assumption_not_official_correction
143,23:50,23:40,23:50,144,144,23:50-0:00+1,proposed_right_endpoint_assumption_not_official_correction
144,24:00,23:50,24:00,145,145,0:00-0:10+1,proposed_right_endpoint_assumption_not_official_correction
