slot,source_end_minute,start_minute,end_minute,original_annual_label,canonical_label,original_q1_label,q1_template_row,annual_template_column,export_label,interpretation
36,360,350,360,6:00-6:10,05:50-06:00,6:00-6:10,37,AK,05:50-06:00,right_endpoint_assumption_not_official_correction
37,370,360,370,6:10-6:20,06:00-06:10,6:10-6:20,38,AL,06:00-06:10,right_endpoint_assumption_not_official_correction
38,380,370,380,6:20-6:30,06:10-06:20,6:20-6:30,39,AM,06:10-06:20,right_endpoint_assumption_not_official_correction
39,390,380,390,6:30-6:40,06:20-06:30,6:30-6:40,40,AN,06:20-06:30,right_endpoint_assumption_not_official_correction
40,400,390,400,6:40-6:50,06:30-06:40,6:40-6:50,41,AO,06:30-06:40,right_endpoint_assumption_not_official_correction
41,410,400,410,6:50-7:00,06:40-06:50,6:50-7:00,42,AP,06:40-06:50,right_endpoint_assumption_not_official_correction
42,420,410,420,7:0-7:10,06:50-07:00,7:00-7:10,43,AQ,06:50-07:00,right_endpoint_assumption_not_official_correction
43,430,420,430,7:10-7:20,07:00-07:10,7:10-7:20,44,AR,07:00-07:10,right_endpoint_assumption_not_official_correction
44,440,430,440,7:20-7:30,07:10-07:20,7:20-7:30,45,AS,07:10-07:20,right_endpoint_assumption_not_official_correction
45,450,440,450,7:30-7:40,07:20-07:30,7:30-7:40,46,AT,07:20-07:30,right_endpoint_assumption_not_official_correction
46,460,450,460,7:40-7:50,07:30-07:40,7:40-7:50,47,AU,07:30-07:40,right_endpoint_assumption_not_official_correction
47,470,460,470,7:50-8:00,07:40-07:50,7:50-8:00,48,AV,07:40-07:50,right_endpoint_assumption_not_official_correction
48,480,470,480,8:00-8:10,07:50-08:00,8:00-8:10,49,AW,07:50-08:00,right_endpoint_assumption_not_official_correction
49,490,480,490,8:10-8:20,08:00-08:10,8:10-8:20,50,AX,08:00-08:10,right_endpoint_assumption_not_official_correction
50,500,490,500,8:20-8:30,08:10-08:20,8:20-8:30,51,AY,08:10-08:20,right_endpoint_assumption_not_official_correction
51,510,500,510,8:30-8:40,08:20-08:30,8:30-8:40,52,AZ,08:20-08:30,right_endpoint_assumption_not_official_correction
52,520,510,520,8:40-8:50,08:30-08:40,8:40-8:50,53,BA,08:30-08:40,right_endpoint_assumption_not_official_correction
53,530,520,530,8:50-9:00,08:40-08:50,8:50-9:00,54,BB,08:40-08:50,right_endpoint_assumption_not_official_correction
54,540,530,540,9:00-9:10,08:50-09:00,9:00-9:10,55,BC,08:50-09:00,right_endpoint_assumption_not_official_correction
55,550,540,550,9:10-9:20,09:00-09:10,9:10-9:20,56,BD,09:00-09:10,right_endpoint_assumption_not_official_correction
56,560,550,560,9:20-9:30,09:10-09:20,9:20-9:30,57,BE,09:10-09:20,right_endpoint_assumption_not_official_correction
57,570,560,570,9:30-9:40,09:20-09:30,9:30-9:40,58,BF,09:20-09:30,right_endpoint_assumption_not_official_correction
58,580,570,580,9:40-9:50,09:30-09:40,9:40-9:50,59,BG,09:30-09:40,right_endpoint_assumption_not_official_correction
59,590,580,590,9:50-10:00,09:40-09:50,9:50-10:00,60,BH,09:40-09:50,right_endpoint_assumption_not_official_correction
60,600,590,600,10:00-10:10,09:50-10:00,10:00-10:10,61,BI,09:50-10:00,right_endpoint_assumption_not_official_correction
61,610,600,610,10:10-10:20,10:00-10:10,10:10-10:20,62,BJ,10:00-10:10,right_endpoint_assumption_not_official_correction
62,620,610,620,10:20-10:30,10:10-10:20,10:20-10:30,63,BK,10:10-10:20,right_endpoint_assumption_not_official_correction
63,630,620,630,10:30-10:40,10:20-10:30,10:30-10:40,64,BL,10:20-10:30,right_endpoint_assumption_not_official_correction
64,640,630,640,10:40-10:50,10:30-10:40,10:40-10:50,65,BM,10:30-10:40,right_endpoint_assumption_not_official_correction
65,650,640,650,10:50-11:00,10:40-10:50,10:50-11:00,66,BN,10:40-10:50,right_endpoint_assumption_not_official_correction
66,660,650,660,11:00-11:10,10:50-11:00,11:00-11:10,67,BO,10:50-11:00,right_endpoint_assumption_not_official_correction
67,670,660,670,11:10-11:20,11:00-11:10,11:10-11:20,68,BP,11:00-11:10,right_endpoint_assumption_not_official_correction
68,680,670,680,11:20-11:30,11:10-11:20,11:20-11:30,69,BQ,11:10-11:20,right_endpoint_assumption_not_official_correction
69,690,680,690,11:30-11:40,11:20-11:30,11:30-11:40,70,BR,11:20-11:30,right_endpoint_assumption_not_official_correction
70,700,690,700,11:40-11:50,11:30-11:40,11:40-11:50,71,BS,11:30-11:40,right_endpoint_assumption_not_official_correction
71,710,700,710,11:50-12:00,11:40-11:50,11:50-12:00,72,BT,11:40-11:50,right_endpoint_assumption_not_official_correction
72,720,710,720,12:00-12:10,11:50-12:00,12:00-12:10,73,BU,11:50-12:00,right_endpoint_assumption_not_official_correction
73,730,720,730,12:10-12:20,12:00-12:10,12:10-12:20,74,BV,12:00-12:10,right_endpoint_assumption_not_official_correction
74,740,730,740,12:20-12:30,12:10-12:20,12:20-12:30,75,BW,12:10-12:20,right_endpoint_assumption_not_official_correction
75,750,740,750,12:30-12:40,12:20-12:30,12:30-12:40,76,BX,12:20-12:30,right_endpoint_assumption_not_official_correction
76,760,750,760,12:40-12:50,12:30-12:40,12:40-12:50,77,BY,12:30-12:40,right_endpoint_assumption_not_official_correction
77,770,760,770,12:50-13:00,12:40-12:50,12:50-13:00,78,BZ,12:40-12:50,right_endpoint_assumption_not_official_correction
78,780,770,780,13:00-13:10,12:50-13:00,13:00-13:10,79,CA,12:50-13:00,right_endpoint_assumption_not_official_correction
79,790,780,790,13:10-13:20,13:00-13:10,13:10-13:20,80,CB,13:00-13:10,right_endpoint_assumption_not_official_correction
80,800,790,800,13:20-13:30,13:10-13:20,13:20-13:30,81,CC,13:10-13:20,right_endpoint_assumption_not_official_correction
81,810,800,810,13:30-13:40,13:20-13:30,13:30-13:40,82,CD,13:20-13:30,right_endpoint_assumption_not_official_correction
82,820,810,820,13:40-13:50,13:30-13:40,13:40-13:50,83,CE,13:30-13:40,right_endpoint_assumption_not_official_correction
83,830,820,830,13:50-14:00,13:40-13:50,13:50-14:00,84,CF,13:40-13:50,right_endpoint_assumption_not_official_correction
84,840,830,840,14:00-14:10,13:50-14:00,14:00-14:10,85,CG,13:50-14:00,right_endpoint_assumption_not_official_correction
85,850,840,850,14:10-14:20,14:00-14:10,14:10-14:20,86,CH,14:00-14:10,right_endpoint_assumption_not_official_correction
86,860,850,860,14:20-14:30,14:10-14:20,14:20-14:30,87,CI,14:10-14:20,right_endpoint_assumption_not_official_correction
87,870,860,870,14:30-14:40,14:20-14:30,14:30-14:40,88,CJ,14:20-14:30,right_endpoint_assumption_not_official_correction
88,880,870,880,14:40-14:50,14:30-14:40,14:40-14:50,89,CK,14:30-14:40,right_endpoint_assumption_not_official_correction
89,890,880,890,14:50-15:00,14:40-14:50,14:50-15:00,90,CL,14:40-14:50,right_endpoint_assumption_not_official_correction
90,900,890,900,15:00-15:10,14:50-15:00,15:00-15:10,91,CM,14:50-15:00,right_endpoint_assumption_not_official_correction
91,910,900,910,15:10-15:20,15:00-15:10,15:10-15:20,92,CN,15:00-15:10,right_endpoint_assumption_not_official_correction
92,920,910,920,15:20-15:30,15:10-15:20,15:20-15:30,93,CO,15:10-15:20,right_endpoint_assumption_not_official_correction
93,930,920,930,15:30-15:40,15:20-15:30,15:30-15:40,94,CP,15:20-15:30,right_endpoint_assumption_not_official_correction
94,940,930,940,15:40-15:50,15:30-15:40,15:40-15:50,95,CQ,15:30-15:40,right_endpoint_assumption_not_official_correction
95,950,940,950,15:50-16:00,15:40-15:50,15:50-16:00,96,CR,15:40-15:50,right_endpoint_assumption_not_official_correction
96,960,950,960,16:00-16:10,15:50-16:00,16:00-16:10,97,CS,15:50-16:00,right_endpoint_assumption_not_official_correction
97,970,960,970,16:10-16:20,16:00-16:10,16:10-16:20,98,CT,16:00-16:10,right_endpoint_assumption_not_official_correction
98,980,970,980,16:20-16:30,16:10-16:20,16:20-16:30,99,CU,16:10-16:20,right_endpoint_assumption_not_official_correction
99,990,980,990,16:30-16:40,16:20-16:30,16:30-16:40,100,CV,16:20-16:30,right_endpoint_assumption_not_official_correction
100,1000,990,1000,16:40-16:50,16:30-16:40,16:40-16:50,101,CW,16:30-16:40,right_endpoint_assumption_not_official_correction
101,1010,1000,1010,16:50-17:00,16:40-16:50,16:50-17:00,102,CX,16:40-16:50,right_endpoint_assumption_not_official_correction
102,1020,1010,1020,17:00-17:10,16:50-17:00,17:00-17:10,103,CY,16:50-17:00,right_endpoint_assumption_not_official_correction
103,1030,1020,1030,17:10-17:20,17:00-17:10,17:10-17:20,104,CZ,17:00-17:10,right_endpoint_assumption_not_official_correction
104,1040,1030,1040,17:20-17:30,17:10-17:20,17:20-17:30,105,DA,17:10-17:20,right_endpoint_assumption_not_official_correction
105,1050,1040,1050,17:30-17:40,17:20-17:30,17:30-17:40,106,DB,17:20-17:30,right_endpoint_assumption_not_official_correction
106,1060,1050,1060,17:40-17:50,17:30-17:40,17:40-17:50,107,DC,17:30-17:40,right_endpoint_assumption_not_official_correction
107,1070,1060,1070,17:50-18:00,17:40-17:50,17:50-18:00,108,DD,17:40-17:50,right_endpoint_assumption_not_official_correction
108,1080,1070,1080,18:00-18:10,17:50-18:00,18:00-18:10,109,DE,17:50-18:00,right_endpoint_assumption_not_official_correction
109,1090,1080,1090,18:10-18:20,18:00-18:10,18:10-18:20,110,DF,18:00-18:10,right_endpoint_assumption_not_official_correction
110,1100,1090,1100,18:20-18:30,18:10-18:20,18:20-18:30,111,DG,18:10-18:20,right_endpoint_assumption_not_official_correction
111,1110,1100,1110,18:30-18:40,18:20-18:30,18:30-18:40,112,DH,18:20-18:30,right_endpoint_assumption_not_official_correction
112,1120,1110,1120,18:40-18:50,18:30-18:40,18:40-18:50,113,DI,18:30-18:40,right_endpoint_assumption_not_official_correction
113,1130,1120,1130,18:50-19:00,18:40-18:50,18:50-19:00,114,DJ,18:40-18:50,right_endpoint_assumption_not_official_correction
114,1140,1130,1140,19:00-19:10,18:50-19:00,19:00-19:10,115,DK,18:50-19:00,right_endpoint_assumption_not_official_correction
115,1150,1140,1150,19:10-19:20,19:00-19:10,19:10-19:20,116,DL,19:00-19:10,right_endpoint_assumption_not_official_correction
116,1160,1150,1160,19:20-19:30,19:10-19:20,19:20-19:30,117,DM,19:10-19:20,right_endpoint_assumption_not_official_correction
117,1170,1160,1170,19:30-19:40,19:20-19:30,19:30-19:40,118,DN,19:20-19:30,right_endpoint_assumption_not_official_correction
118,1180,1170,1180,19:40-19:50,19:30-19:40,19:40-19:50,119,DO,19:30-19:40,right_endpoint_assumption_not_official_correction
119,1190,1180,1190,19:50-20:00,19:40-19:50,19:50-20:00,120,DP,19:40-19:50,right_endpoint_assumption_not_official_correction
120,1200,1190,1200,20:00-20:10,19:50-20:00,20:00-20:10,121,DQ,19:50-20:00,right_endpoint_assumption_not_official_correction
121,1210,1200,1210,20:10-20:20,20:00-20:10,20:10-20:20,122,DR,20:00-20:10,right_endpoint_assumption_not_official_correction
122,1220,1210,1220,20:20-20:30,20:10-20:20,20:20-20:30,123,DS,20:10-20:20,right_endpoint_assumption_not_official_correction
123,1230,1220,1230,20:30-20:40,20:20-20:30,20:30-20:40,124,DT,20:20-20:30,right_endpoint_assumption_not_official_correction
124,1240,1230,1240,20:40-20:50,20:30-20:40,20:40-20:50,125,DU,20:30-20:40,right_endpoint_assumption_not_official_correction
125,1250,1240,1250,20:50-21:00,20:40-20:50,20:50-21:00,126,DV,20:40-20:50,right_endpoint_assumption_not_official_correction
126,1260,1250,1260,21:00-21:10,20:50-21:00,21:00-21:10,127,DW,20:50-21:00,right_endpoint_assumption_not_official_correction
127,1270,1260,1270,21:10-21:20,21:00-21:10,21:10-21:20,128,DX,21:00-21:10,right_endpoint_assumption_not_official_correction
128,1280,1270,1280,21:20-21:30,21:10-21:20,21:20-21:30,129,DY,21:10-21:20,right_endpoint_assumption_not_official_correction
129,1290,1280,1290,21:30-21:40,21:20-21:30,21:30-21:40,130,DZ,21:20-21:30,right_endpoint_assumption_not_official_correction
130,1300,1290,1300,21:40-21:50,21:30-21:40,21:40-21:50,131,EA,21:30-21:40,right_endpoint_assumption_not_official_correction
131,1310,1300,1310,21:50-22:00,21:40-21:50,21:50-22:00,132,EB,21:40-21:50,right_endpoint_assumption_not_official_correction
132,1320,1310,1320,22:00-22:10,21:50-22:00,22:00-22:10,133,EC,21:50-22:00,right_endpoint_assumption_not_official_correction
133,1330,1320,1330,22:10-22:20,22:00-22:10,22:10-22:20,134,ED,22:00-22:10,right_endpoint_assumption_not_official_correction
134,1340,1330,1340,22:20-22:30,22:10-22:20,22:20-22:30,135,EE,22:10-22:20,right_endpoint_assumption_not_official_correction
135,1350,1340,1350,22:30-22:40,22:20-22:30,22:30-22:40,136,EF,22:20-22:30,right_endpoint_assumption_not_official_correction
136,1360,1350,1360,22:40-22:50,22:30-22:40,22:40-22:50,137,EG,22:30-22:40,right_endpoint_assumption_not_official_correction
137,1370,1360,1370,22:50-23:00,22:40-22:50,22:50-23:00,138,EH,22:40-22:50,right_endpoint_assumption_not_official_correction
138,1380,1370,1380,23:00-23:10,22:50-23:00,23:00-23:10,139,EI,22:50-23:00,right_endpoint_assumption_not_official_correction
139,1390,1380,1390,23:10-23:20,23:00-23:10,23:10-23:20,140,EJ,23:00-23:10,right_endpoint_assumption_not_official_correction
140,1400,1390,1400,23:20-23:30,23:10-23:20,23:20-23:30,141,EK,23:10-23:20,right_endpoint_assumption_not_official_correction
141,1410,1400,1410,23:30-23:40,23:20-23:30,23:30-23:40,142,EL,23:20-23:30,right_endpoint_assumption_not_official_correction
142,1420,1410,1420,23:40-23:50,23:30-23:40,23:40-23:50,143,EM,23:30-23:40,right_endpoint_assumption_not_official_correction
143,1430,1420,1430,23:50-0:00+1,23:40-23:50,23:50-0:00+1,144,EN,23:40-23:50,right_endpoint_assumption_not_official_correction
144,1440,1430,1440,0:00-0:10+1,23:50-24:00,0:00+1-0:10+1,145,EO,23:50-24:00,right_endpoint_assumption_not_official_correction
